Year,2023 Dollar Multiplier
1981,3.44
1982,3.17
1983,3.06
1984,2.94
1985,2.84
1986,2.73
1987,2.69
1988,2.59
1989,2.47
1990,2.35
1991,2.22
1992,2.17
1993,2.10
1994,2.05
1995,1.99
1996,1.94
1997,1.88
1998,1.85
1999,1.82
2000,1.77
2001,1.71
2002,1.69
2003,1.65
2004,1.62
2005,1.57
2006,1.51
2007,1.48
2008,1.42
2009,1.42
2010,1.38
2011,1.36
2012,1.32
2013,1.30
2014,1.28
2015,1.28
2016,1.26
2017,1.23
2018,1.21
2019,1.19
2020,1.16
2021,1.14
2022,1.06
2023,1.00